v2_line,v2_queue,stage,family,v2_dup2,contract_path,group_key,catalog_nodekey_v2,catalog_nodekey_parsed,queue_in_registry
4292,wa:media:send,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--media--send.md,E2|wa--media--send,e2:wa:media-send,e2:wa:media-send,yes
4317,wa:message:retry,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--message--retry.md,E2|wa--message--retry,e2:wa:message-retry,e2:wa:message-retry,yes
4342,wa:send:followup,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--send--followup.md,E2|wa--send--followup,,,no
4364,wa:send:initial,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--send--initial.md,E2|wa--send--initial,,,no
4386,wa:send:reply,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--send--reply.md,E2|wa--send--reply,,,no
4408,wa:status:sync,E2,whatsapp,no,docs/CognitiveBrain/contracts/neurons/E2/wa--status--sync.md,E2|wa--status--sync,e2:wa:status-sync,e2:wa:status-sync,yes
4433,ai:agent:generate,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--agent--generate.md,E3|ai--agent--generate,,,no
4455,ai:agent:orchestrate,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--agent--orchestrate.md,E3|ai--agent--orchestrate,e3:ai:agent-orchestrate,e3:ai:agent-orchestrate,yes
4480,ai:agent:response-generate,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--agent--response-generate.md,E3|ai--agent--response-generate,,,no
4502,ai:context:build,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--context--build.md,E3|ai--context--build,e3:ai:context-build,e3:ai:context-build,yes
4527,ai:feedback:collect,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--feedback--collect.md,E3|ai--feedback--collect,e3:feedback:collect,,no
4552,ai:intent:classify,E2,ai-core,yes,docs/CognitiveBrain/contracts/neurons/E2/ai--intent--classify.md,E2|ai--intent--classify,e2:ai:intent-classify,e2:ai:intent-classify;e3:intent:classify,yes
4577,ai:prompt:optimize,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--prompt--optimize.md,E3|ai--prompt--optimize,,,no
4599,ai:tool:execute,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/ai--tool--execute.md,E3|ai--tool--execute,,,no
4621,mcp:resource:load,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/mcp--resource--load.md,E3|mcp--resource--load,e3:mcp:resource-load,e3:mcp:resource-load,yes
4646,mcp:session:manage,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/mcp--session--manage.md,E3|mcp--session--manage,e3:mcp:session-manage,e3:mcp:session-manage,yes
4671,mcp:tool:register,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/mcp--tool--register.md,E3|mcp--tool--register,e3:mcp:tool-register,e3:mcp:tool-register,yes
4696,sentiment:trend:analyze,E3,ai-core,no,docs/CognitiveBrain/contracts/neurons/E3/sentiment--trend--analyze.md,E3|sentiment--trend--analyze,e3:sentiment:trend-analyze,e3:sentiment:trend-analyze,yes
4721,channel:email:send,E3,channels,no,docs/CognitiveBrain/contracts/neurons/E3/channel--email--send.md,E3|channel--email--send,e3:channel:email-send,e3:channel:email-send,yes
4746,channel:routing:decide,E3,channels,no,docs/CognitiveBrain/contracts/neurons/E3/channel--routing--decide.md,E3|channel--routing--decide,,e3:channel:route-decide,no
4768,channel:whatsapp:send,E3,channels,no,docs/CognitiveBrain/contracts/neurons/E3/channel--whatsapp--send.md,E3|channel--whatsapp--send,e3:channel:whatsapp-send,e3:channel:whatsapp-send,yes
4793,document:email:send,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/document--email--send.md,E3|document--email--send,e3:document:email-send,e3:document:email-send,yes
4818,document:pdf:generate,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/document--pdf--generate.md,E3|document--pdf--generate,e3:document:pdf-generate,e3:document:pdf-generate,yes
4843,document:template:compile,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/document--template--compile.md,E3|document--template--compile,e3:document:template-compile,e3:document:template-compile,yes
4868,document:whatsapp:send,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/document--whatsapp--send.md,E3|document--whatsapp--send,e3:document:whatsapp-send,e3:document:whatsapp-send,yes
4893,einvoice:archive:download,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/einvoice--archive--download.md,E3|einvoice--archive--download,e3:einvoice:archive-download,e3:einvoice:archive-download,yes
4918,oblio:invoice:cancel,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/oblio--invoice--cancel.md,E3|oblio--invoice--cancel,e3:oblio:invoice-cancel,e3:oblio:invoice-cancel,yes
4943,oblio:invoice:create,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/oblio--invoice--create.md,E3|oblio--invoice--create,e3:oblio:invoice-create,e3:oblio:invoice-create,yes
4968,oblio:proforma:create,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/oblio--proforma--create.md,E3|oblio--proforma--create,e3:oblio:proforma-create,e3:oblio:proforma-create,yes
4993,oblio:stock:sync,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/oblio--stock--sync.md,E3|oblio--stock--sync,e3:oblio:stock-sync,e3:oblio:stock-sync,yes
5018,oblio:webhook:process,E3,fiscal-docs,no,docs/CognitiveBrain/contracts/neurons/E3/oblio--webhook--process.md,E3|oblio--webhook--process,e3:oblio:webhook-process,e3:oblio:webhook-process,yes
5043,guardrail:discount:check,E3,guardrails,no,docs/CognitiveBrain/contracts/neurons/E3/guardrail--discount--check.md,E3|guardrail--discount--check,e3:guardrail:discount-check,e3:guardrail:discount-check,yes
5068,guardrail:log:analyze,E3,guardrails,no,docs/CognitiveBrain/contracts/neurons/E3/guardrail--log--analyze.md,E3|guardrail--log--analyze,,,no
5090,guardrail:price:check,E3,guardrails,no,docs/CognitiveBrain/contracts/neurons/E3/guardrail--price--check.md,E3|guardrail--price--check,e3:guardrail:price-check,e3:guardrail:price-check,yes
5115,guardrail:stock:check,E3,guardrails,no,docs/CognitiveBrain/contracts/neurons/E3/guardrail--stock--check.md,E3|guardrail--stock--check,e3:guardrail:stock-check,e3:guardrail:stock-check,yes
5140,guardrail:stock:verify,E3,guardrails,no,docs/CognitiveBrain/contracts/neurons/E3/guardrail--stock--verify.md,E3|guardrail--stock--verify,,,no
5162,human:notification:send,E3,human,no,docs/CognitiveBrain/contracts/neurons/E3/human--notification--send.md,E3|human--notification--send,,,no
5184,human:queue:prioritize,E3,human,no,docs/CognitiveBrain/contracts/neurons/E3/human--queue--prioritize.md,E3|human--queue--prioritize,,,no
5206,negotiation:expire:check,E3,negotiation,no,docs/CognitiveBrain/contracts/neurons/E3/negotiation--expire--check.md,E3|negotiation--expire--check,e3:negotiation:expire-check,e3:negotiation:expire-check,yes
5231,negotiation:reminder:send,E3,negotiation,no,docs/CognitiveBrain/contracts/neurons/E3/negotiation--reminder--send.md,E3|negotiation--reminder--send,e3:negotiation:reminder-send,e3:negotiation:reminder-send,yes
5256,negotiation:state:transition,E3,negotiation,no,docs/CognitiveBrain/contracts/neurons/E3/negotiation--state--transition.md,E3|negotiation--state--transition,e3:negotiation:state-transition,e3:negotiation:state-transition,yes
5281,negotiation:summary:generate,E3,negotiation,no,docs/CognitiveBrain/contracts/neurons/E3/negotiation--summary--generate.md,E3|negotiation--summary--generate,,,no
5303,backup:conversations:export,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/backup--conversations--export.md,E3|backup--conversations--export,,,no
5325,metrics:llm-usage:aggregate,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/metrics--llm-usage--aggregate.md,E3|metrics--llm-usage--aggregate,,,no
5347,pipeline:ai-sales:cleanup,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/pipeline--ai-sales--cleanup.md,E3|pipeline--ai-sales--cleanup,,,no
5369,pipeline:ai-sales:health,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/pipeline--ai-sales--health.md,E3|pipeline--ai-sales--health,,,no
5391,pipeline:ai-sales:metrics,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/pipeline--ai-sales--metrics.md,E3|pipeline--ai-sales--metrics,,,no
5413,report:conversion:analyze,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/report--conversion--analyze.md,E3|report--conversion--analyze,,,no
5435,report:daily:generate,E3,ops,no,docs/CognitiveBrain/contracts/neurons/E3/report--daily--generate.md,E3|report--daily--generate,,,no
5457,pricing:competitor:check,E3,pricing,no,docs/CognitiveBrain/contracts/neurons/E3/pricing--competitor--check.md,E3|pricing--competitor--check,e3:pricing:competitor-check,e3:pricing:competitor-check,yes
5482,pricing:discount:calculate,E3,pricing,no,docs/CognitiveBrain/contracts/neurons/E3/pricing--discount--calculate.md,E3|pricing--discount--calculate,e3:pricing:discount-calculate,e3:pricing:discount-calculate,yes
5507,pricing:margin:check,E3,pricing,no,docs/CognitiveBrain/contracts/neurons/E3/pricing--margin--check.md,E3|pricing--margin--check,e3:pricing:margin-check,e3:pricing:margin-check,yes
5532,product:category:sync,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--category--sync.md,E3|product--category--sync,e3:product:category-sync,e3:product:category-sync,yes
5557,product:chunk:create,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--chunk--create.md,E3|product--chunk--create,,,no
5579,product:embedding:generate,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--embedding--generate.md,E3|product--embedding--generate,,,no
5601,product:stock:realtime-check,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--stock--realtime-check.md,E3|product--stock--realtime-check,,,no
5623,product:sync:shopify,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--sync--shopify.md,E3|product--sync--shopify,,,no
5645,product:variant:process,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/product--variant--process.md,E3|product--variant--process,e3:product:variant-process,e3:product:variant-process,yes
5670,search:hybrid:execute,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/search--hybrid--execute.md,E3|search--hybrid--execute,,,no
5692,search:index:rebuild,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/search--index--rebuild.md,E3|search--index--rebuild,e3:product:index-rebuild,e3:product:index-rebuild,yes
5717,search:query:understand,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/search--query--understand.md,E3|search--query--understand,,,no
5739,search:rerank:cross-encoder,E3,product-search,no,docs/CognitiveBrain/contracts/neurons/E3/search--rerank--cross-encoder.md,E3|search--rerank--cross-encoder,,,no
5761,stock:reserve:create,E3,stock,no,docs/CognitiveBrain/contracts/neurons/E3/stock--reserve--create.md,E3|stock--reserve--create,e3:stock:reserve-create,e3:stock:reserve-create,yes
5786,stock:reserve:release,E3,stock,no,docs/CognitiveBrain/contracts/neurons/E3/stock--reserve--release.md,E3|stock--reserve--release,e3:stock:reserve-release,e3:stock:reserve-release,yes
5811,stock:sync:erp,E3,stock,no,docs/CognitiveBrain/contracts/neurons/E3/stock--sync--erp.md,E3|stock--sync--erp,e3:stock:sync-erp,e3:stock:sync-erp,yes
5836,alert:client:account-blocked,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--account-blocked.md,E4|alert--client--account-blocked,,,no
5858,alert:client:contract-pending,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--contract-pending.md,E4|alert--client--contract-pending,,,no
5880,alert:client:credit-insufficient,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--credit-insufficient.md,E4|alert--client--credit-insufficient,,,no
5902,alert:client:delivered,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--delivered.md,E4|alert--client--delivered,,,no
5924,alert:client:delivery-failed,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--delivery-failed.md,E4|alert--client--delivery-failed,,,no
5946,alert:client:out-for-delivery,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--out-for-delivery.md,E4|alert--client--out-for-delivery,,,no
5968,alert:client:payment-received,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--payment-received.md,E4|alert--client--payment-received,,,no
5990,alert:client:payment-reminder,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--payment-reminder.md,E4|alert--client--payment-reminder,,,no
6012,alert:client:return-created,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--return-created.md,E4|alert--client--return-created,,,no
6034,alert:client:shipped,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--client--shipped.md,E4|alert--client--shipped,,,no
6056,alert:internal:compliance-issue,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--compliance-issue.md,E4|alert--internal--compliance-issue,,,no
6078,alert:internal:contract-signed,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--contract-signed.md,E4|alert--internal--contract-signed,,,no
6100,alert:internal:credit-blocked,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--credit-blocked.md,E4|alert--internal--credit-blocked,,,no
6122,alert:internal:daily-summary,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--daily-summary.md,E4|alert--internal--daily-summary,,,no
6144,alert:internal:insolvency-detected,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--insolvency-detected.md,E4|alert--internal--insolvency-detected,,,no
6166,alert:internal:oblio-sync-failed,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--oblio-sync-failed.md,E4|alert--internal--oblio-sync-failed,,,no
6188,alert:internal:return-received,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--return-received.md,E4|alert--internal--return-received,,,no
6210,alert:internal:stock-insufficient,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--stock-insufficient.md,E4|alert--internal--stock-insufficient,,,no
6232,alert:internal:storno-failed,E4,alerts,no,docs/CognitiveBrain/contracts/neurons/E4/alert--internal--storno-failed.md,E4|alert--internal--storno-failed,,,no
6254,audit:compliance:check,E4,audit,no,docs/CognitiveBrain/contracts/neurons/E4/audit--compliance--check.md,E4|audit--compliance--check,,,no
6276,audit:data:anonymize,E4,audit,no,docs/CognitiveBrain/contracts/neurons/E4/audit--data--anonymize.md,E4|audit--data--anonymize,e4:audit:data-anonymize,e4:audit:data-anonymize,yes
6301,audit:log:write,E4,audit,no,docs/CognitiveBrain/contracts/neurons/E4/audit--log--write.md,E4|audit--log--write,e4:audit:log-write,e4:audit:log-write,yes
6326,payment:reconcile:auto,E4,cash,no,docs/CognitiveBrain/contracts/neurons/E4/payment--reconcile--auto.md,E4|payment--reconcile--auto,e4:payment:reconcile-auto,e4:payment:reconcile-auto,yes
6351,payment:refund:process,E4,cash,no,docs/CognitiveBrain/contracts/neurons/E4/payment--refund--process.md,E4|payment--refund--process,e4:revolut:refund-process,e4:revolut:refund-process,yes
6376,reconcile:daily:unmatched,E4,cash,no,docs/CognitiveBrain/contracts/neurons/E4/reconcile--daily--unmatched.md,E4|reconcile--daily--unmatched,,,no
6398,reconcile:overdue:check,E4,cash,no,docs/CognitiveBrain/contracts/neurons/E4/reconcile--overdue--check.md,E4|reconcile--overdue--check,,,no
6420,webhook:revolut:ingest,E4,cash,no,docs/CognitiveBrain/contracts/neurons/E4/webhook--revolut--ingest.md,E4|webhook--revolut--ingest,,,no
6442,contract:archive:store,E3,contracts,no,docs/CognitiveBrain/contracts/neurons/E3/contract--archive--store.md,E3|contract--archive--store,e3:document:archive-store,e3:document:archive-store,yes
6467,contract:clause:assemble,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--clause--assemble.md,E4|contract--clause--assemble,,,no
6489,contract:generate:docx,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--generate--docx.md,E4|contract--generate--docx,,,no
6511,contract:generate:notice,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--generate--notice.md,E4|contract--generate--notice,,,no
6533,contract:sign:check-expiry,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--sign--check-expiry.md,E4|contract--sign--check-expiry,,,no
6555,contract:sign:complete,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--sign--complete.md,E4|contract--sign--complete,,,no
6577,contract:sign:request,E4,contracts,no,docs/CognitiveBrain/contracts/neurons/E4/contract--sign--request.md,E4|contract--sign--request,,,no
